Name;V1 Mit Ventilation;
File;C:\Users\Serafin Kollegger\Desktop\Scope Projekte\TempStepResponse\Volt1MitVentilation.csv;
Starttime of export;133604218113190000;Freitag, 17. Mai 2024;14:16:51.319
Endtime of export;133604220669590000;Freitag, 17. Mai 2024;14:21:06.959


Name;iTempSens1;iTempSens2;bHeating;rHeating
SampleTime[ms];10;10;10;10
SymbolBased;True;True;True;True
SymbolName;IFC_HW.iTempSens1;IFC_HW.iTempSens2;GVL_VIS.bHeating;GVL_VIS.rHeating
NetID;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1
Port;851;851;851;851

0;2317;2307;0;1.03298616
10;2317;2307;0;1.03298616
20;2317;2307;0;1.03298616
30;2317;2307;0;1.03298616
40;2317;2307;0;1.03298616
50;2317;2307;0;1.03298616
60;2317;2307;0;1.03298616
70;2317;2307;0;1.03298616
80;2317;2307;0;1.03298616
90;2317;2307;0;1.03298616
100;2317;2307;0;1.03298616
110;2317;2307;0;1.03298616
120;2317;2307;0;1.03298616
130;2317;2307;0;1.03298616
140;2317;2307;0;1.03298616
150;2317;2307;0;1.03298616
160;2317;2307;0;1.03298616
170;2317;2307;0;1.03298616
180;2317;2307;0;1.03298616
190;2317;2307;0;1.03298616
200;2317;2307;0;1.03298616
210;2317;2307;0;1.03298616
220;2317;2307;0;1.03298616
230;2317;2307;0;1.03298616
240;2317;2307;0;1.03298616
250;2317;2307;0;1.03298616
260;2317;2307;0;1.03298616
270;2317;2307;0;1.03298616
280;2317;2307;0;1.03298616
290;2317;2307;0;1.03298616
300;2317;2307;0;1.03298616
310;2317;2307;0;1.03298616
320;2317;2307;0;1.03298616
330;2317;2307;0;1.03298616
340;2317;2307;0;1.03298616
350;2317;2307;0;1.03298616
360;2317;2307;0;1.03298616
370;2317;2307;0;1.03298616
380;2317;2307;0;1.03298616
390;2317;2307;0;1.03298616
400;2317;2307;0;1.03298616
410;2317;2307;0;1.03298616
420;2317;2307;0;1.03298616
430;2317;2307;0;1.03298616
440;2317;2307;0;1.03298616
450;2317;2307;0;1.03298616
460;2317;2307;0;1.03298616
470;2317;2307;0;1.03298616
480;2317;2307;0;1.03298616
490;2317;2307;0;1.03298616
500;2317;2307;0;1.03298616
510;2317;2307;0;1.03298616
520;2317;2307;0;1.03298616
530;2317;2307;0;1.03298616
540;2317;2307;0;1.03298616
550;2317;2307;0;1.03298616
560;2317;2307;0;1.03298616
570;2317;2307;0;1.03298616
580;2317;2307;0;1.03298616
590;2317;2307;0;1.03298616
600;2317;2307;0;1.03298616
610;2317;2307;0;1.03298616
620;2317;2307;0;1.03298616
630;2317;2307;0;1.03298616
640;2317;2307;0;1.03298616
650;2317;2307;0;1.03298616
660;2317;2307;0;1.03298616
670;2317;2307;0;1.03298616
680;2317;2307;0;1.03298616
690;2317;2307;0;1.03298616
700;2317;2307;0;1.03298616
710;2317;2307;0;1.03298616
720;2317;2307;0;1.03298616
730;2317;2307;0;1.03298616
740;2317;2307;0;1.03298616
750;2317;2307;0;1.03298616
760;2317;2307;0;1.03298616
770;2317;2307;0;1.03298616
780;2317;2307;0;1.03298616
790;2317;2307;0;1.03298616
800;2317;2307;0;1.03298616
810;2317;2307;0;1.03298616
820;2317;2307;0;1.03298616
830;2317;2307;0;1.03298616
840;2317;2307;0;1.03298616
850;2317;2307;0;1.03298616
860;2317;2307;0;1.03298616
870;2317;2307;0;1.03298616
880;2317;2307;0;1.03298616
890;2317;2307;0;1.03298616
900;2317;2307;0;1.03298616
910;2317;2307;0;1.03298616
920;2317;2307;0;1.03298616
930;2317;2307;0;1.03298616
940;2317;2307;0;1.03298616
950;2317;2307;0;1.03298616
960;2317;2307;0;1.03298616
970;2317;2307;0;1.03298616
980;2317;2307;0;1.03298616
990;2317;2307;0;1.03298616
1000;2317;2307;0;1.03298616
1010;2317;2307;0;1.03298616
1020;2317;2307;0;1.03298616
1030;2317;2307;0;1.03298616
1040;2317;2307;0;1.03298616
1050;2317;2307;0;1.03298616
1060;2317;2307;0;1.03298616
1070;2317;2307;0;1.03298616
1080;2317;2307;0;1.03298616
1090;2317;2307;0;1.03298616
1100;2317;2307;0;1.03298616
1110;2317;2307;0;1.03298616
1120;2317;2307;0;1.03298616
1130;2317;2307;0;1.03298616
1140;2317;2307;0;1.03298616
1150;2317;2307;0;1.03298616
1160;2317;2307;0;1.03298616
1170;2317;2307;0;1.03298616
1180;2317;2307;0;1.03298616
1190;2317;2307;0;1.03298616
1200;2317;2307;0;1.03298616
1210;2317;2307;0;1.03298616
1220;2317;2307;0;1.03298616
1230;2317;2307;0;1.03298616
1240;2317;2307;0;1.03298616
1250;2317;2307;0;1.03298616
1260;2317;2307;0;1.03298616
1270;2317;2307;0;1.03298616
1280;2317;2307;0;1.03298616
1290;2317;2307;0;1.03298616
1300;2317;2307;0;1.03298616
1310;2317;2307;0;1.03298616
1320;2317;2307;0;1.03298616
1330;2317;2307;0;1.03298616
1340;2317;2307;0;1.03298616
1350;2317;2307;0;1.03298616
1360;2317;2307;0;1.03298616
1370;2317;2307;0;1.03298616
1380;2317;2307;0;1.03298616
1390;2317;2307;0;1.03298616
1400;2317;2307;0;1.03298616
1410;2317;2307;0;1.03298616
1420;2317;2307;0;1.03298616
1430;2317;2307;0;1.03298616
1440;2317;2307;0;1.03298616
1450;2317;2307;0;1.03298616
1460;2317;2307;0;1.03298616
1470;2317;2307;0;1.03298616
1480;2317;2307;0;1.03298616
1490;2317;2307;0;1.03298616
1500;2317;2307;0;1.03298616
1510;2317;2307;0;1.03298616
1520;2317;2307;0;1.03298616
1530;2317;2307;0;1.03298616
1540;2317;2307;0;1.03298616
1550;2317;2307;0;1.03298616
1560;2317;2307;0;1.03298616
1570;2317;2307;0;1.03298616
1580;2317;2307;0;1.03298616
1590;2317;2307;0;1.03298616
1600;2317;2307;0;1.03298616
1610;2317;2307;0;1.03298616
1620;2317;2307;0;1.03298616
1630;2317;2307;0;1.03298616
1640;2317;2307;0;1.03298616
1650;2317;2307;0;1.03298616
1660;2317;2307;0;1.03298616
1670;2317;2307;0;1.03298616
1680;2317;2307;0;1.03298616
1690;2317;2307;0;1.03298616
1700;2317;2307;0;1.03298616
1710;2317;2307;0;1.03298616
1720;2317;2307;0;1.03298616
1730;2317;2307;0;1.03298616
1740;2317;2307;0;1.03298616
1750;2317;2307;0;1.03298616
1760;2317;2307;0;1.03298616
1770;2317;2307;0;1.03298616
1780;2317;2307;0;1.03298616
1790;2317;2307;0;1.03298616
1800;2317;2307;0;1.03298616
1810;2317;2307;0;1.03298616
1820;2317;2307;0;1.03298616
1830;2317;2307;0;1.03298616
1840;2317;2307;0;1.03298616
1850;2317;2307;0;1.03298616
1860;2317;2307;0;1.03298616
1870;2317;2307;0;1.03298616
1880;2317;2307;0;1.03298616
1890;2317;2307;0;1.03298616
1900;2317;2307;0;1.03298616
1910;2317;2307;0;1.03298616
1920;2317;2307;0;1.03298616
1930;2317;2307;0;1.03298616
1940;2317;2307;0;1.03298616
1950;2317;2307;0;1.03298616
1960;2317;2307;0;1.03298616
1970;2317;2307;0;1.03298616
1980;2317;2307;0;1.03298616
1990;2317;2307;0;1.03298616
2000;2317;2307;0;1.03298616
2010;2317;2307;0;1.03298616
2020;2317;2307;0;1.03298616
2030;2317;2307;0;1.03298616
2040;2317;2307;0;1.03298616
2050;2317;2307;0;1.03298616
