Name;V2 Mit Ventilatin 10 min;
File;C:\Users\Serafin Kollegger\Desktop\Scope Projekte\TempStepResponse\Volt2MitVentilation10min.csv;
Starttime of export;133604232575190000;Freitag, 17. Mai 2024;14:40:57.519
Endtime of export;133604238575190000;Freitag, 17. Mai 2024;14:50:57.519


Name;iTempSens1;iTempSens2;bHeating;rHeating
SampleTime[ms];10;10;10;10
SymbolBased;True;True;True;True
SymbolName;IFC_HW.iTempSens1;IFC_HW.iTempSens2;GVL_VIS.bHeating;GVL_VIS.rHeating
NetID;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1;169.254.41.57.1.1
Port;851;851;851;851

0;2873;2846;0;2.02256942
10;2873;2846;0;2.02256942
20;2873;2846;0;2.02256942
30;2873;2846;0;2.02256942
40;2873;2846;0;2.02256942
50;2873;2846;0;2.02256942
60;2873;2846;0;2.02256942
70;2873;2846;0;2.02256942
80;2873;2846;0;2.02256942
90;2873;2846;0;2.02256942
100;2873;2846;0;2.02256942
110;2873;2846;0;2.02256942
120;2873;2846;0;2.02256942
130;2873;2846;0;2.02256942
140;2873;2846;0;2.02256942
150;2873;2846;0;2.02256942
160;2873;2846;0;2.02256942
170;2873;2846;0;2.02256942
180;2873;2846;0;2.02256942
190;2873;2846;0;2.02256942
200;2873;2846;0;2.02256942
210;2873;2846;0;2.02256942
220;2873;2846;0;2.02256942
230;2873;2846;0;2.02256942
240;2873;2846;0;2.02256942
250;2873;2846;0;2.02256942
260;2873;2846;0;2.02256942
270;2873;2846;0;2.02256942
280;2873;2846;0;2.02256942
290;2873;2846;0;2.02256942
300;2873;2846;0;2.02256942
310;2873;2846;0;2.02256942
320;2873;2846;0;2.02256942
330;2873;2846;0;2.02256942
340;2873;2846;0;2.02256942
350;2873;2846;0;2.02256942
360;2873;2846;0;2.02256942
370;2873;2846;0;2.02256942
380;2873;2846;0;2.02256942
390;2873;2846;0;2.02256942
400;2873;2846;0;2.02256942
410;2873;2846;0;2.02256942
420;2873;2846;0;2.02256942
430;2873;2846;0;2.02256942
440;2873;2846;0;2.02256942
450;2873;2846;0;2.02256942
460;2873;2846;0;2.02256942
470;2873;2846;0;2.02256942
480;2873;2846;0;2.02256942
490;2873;2846;0;2.02256942
500;2873;2846;0;2.02256942
510;2873;2846;0;2.02256942
520;2873;2846;0;2.02256942
530;2873;2846;0;2.02256942
540;2873;2846;0;2.02256942
550;2873;2846;0;2.02256942
560;2873;2846;0;2.02256942
570;2873;2846;0;2.02256942
580;2873;2846;0;2.02256942
590;2873;2846;0;2.02256942
600;2873;2846;0;2.02256942
610;2873;2846;0;2.02256942
620;2873;2846;0;2.02256942
630;2873;2846;0;2.02256942
640;2873;2846;0;2.02256942
650;2873;2846;0;2.02256942
660;2873;2846;0;2.02256942
670;2873;2846;0;2.02256942
680;2873;2846;0;2.02256942
690;2873;2846;0;2.02256942
700;2873;2846;0;2.02256942
710;2873;2846;0;2.02256942
720;2873;2846;0;2.02256942
730;2873;2846;0;2.02256942
740;2873;2846;0;2.02256942
750;2873;2846;0;2.02256942
760;2873;2846;0;2.02256942
770;2873;2846;0;2.02256942
780;2873;2846;0;2.02256942
790;2873;2846;0;2.02256942
800;2873;2846;0;2.02256942
810;2873;2846;0;2.02256942
820;2873;2846;0;2.02256942
830;2873;2846;0;2.02256942
840;2873;2846;0;2.02256942
850;2873;2846;0;2.02256942
860;2873;2846;0;2.02256942
870;2873;2846;0;2.02256942
880;2873;2844;0;2.02256942
890;2873;2844;0;2.02256942
900;2873;2844;0;2.02256942
910;2873;2844;0;2.02256942
920;2873;2844;0;2.02256942
930;2873;2844;0;2.02256942
940;2873;2844;0;2.02256942
950;2873;2844;0;2.02256942
960;2873;2844;0;2.02256942
970;2873;2844;0;2.02256942
980;2873;2844;0;2.02256942
990;2873;2844;0;2.02256942
1000;2873;2844;0;2.02256942
1010;2873;2844;0;2.02256942
1020;2873;2844;0;2.02256942
1030;2873;2844;0;2.02256942
1040;2873;2844;0;2.02256942
1050;2873;2844;0;2.02256942
1060;2873;2844;0;2.02256942
1070;2873;2844;0;2.02256942
1080;2873;2844;0;2.02256942
1090;2873;2844;0;2.02256942
1100;2873;2844;0;2.02256942
1110;2873;2844;0;2.02256942
1120;2873;2844;0;2.02256942
1130;2873;2844;0;2.02256942
1140;2873;2844;0;2.02256942
1150;2873;2844;0;2.02256942
1160;2873;2844;0;2.02256942
1170;2873;2844;0;2.02256942
1180;2873;2844;0;2.02256942
1190;2873;2844;0;2.02256942
1200;2873;2844;0;2.02256942
1210;2873;2844;0;2.02256942
1220;2873;2844;0;2.02256942
1230;2873;2844;0;2.02256942
1240;2873;2844;0;2.02256942
1250;2873;2844;0;2.02256942
1260;2873;2844;0;2.02256942
1270;2873;2844;0;2.02256942
1280;2873;2844;0;2.02256942
1290;2873;2844;0;2.02256942
1300;2873;2844;0;2.02256942
1310;2873;2844;0;2.02256942
1320;2873;2844;0;2.02256942
1330;2873;2844;0;2.02256942
1340;2873;2844;0;2.02256942
1350;2873;2844;0;2.02256942
1360;2873;2844;0;2.02256942
1370;2873;2844;0;2.02256942
1380;2873;2844;0;2.02256942
1390;2873;2844;0;2.02256942
1400;2873;2844;0;2.02256942
1410;2873;2844;0;2.02256942
1420;2873;2844;0;2.02256942
1430;2873;2844;0;2.02256942
1440;2873;2844;0;2.02256942
1450;2873;2844;0;2.02256942
1460;2873;2844;0;2.02256942
1470;2873;2844;0;2.02256942
1480;2873;2844;0;2.02256942
1490;2873;2844;0;2.02256942
1500;2873;2844;0;2.02256942
1510;2873;2844;0;2.02256942
1520;2873;2844;0;2.02256942
1530;2873;2844;0;2.02256942
1540;2873;2844;0;2.02256942
1550;2873;2844;0;2.02256942
1560;2873;2844;0;2.02256942
1570;2873;2844;0;2.02256942
1580;2873;2844;0;2.02256942
1590;2873;2844;0;2.02256942
1600;2873;2844;0;2.02256942
1610;2873;2844;0;2.02256942
1620;2873;2844;0;2.02256942
1630;2873;2844;0;2.02256942
1640;2873;2844;0;2.02256942
1650;2873;2844;0;2.02256942
1660;2873;2844;0;2.02256942
1670;2873;2844;0;2.02256942
1680;2873;2844;0;2.02256942
1690;2873;2844;0;2.02256942
1700;2873;2844;0;2.02256942
1710;2873;2844;0;2.02256942
1720;2873;2844;0;2.02256942
1730;2873;2844;0;2.02256942
1740;2873;2844;0;2.02256942
1750;2871;2844;0;2.02256942
1760;2871;2844;0;2.02256942
1770;2871;2844;0;2.02256942
1780;2871;2844;0;2.02256942
1790;2871;2844;0;2.02256942
1800;2871;2844;0;2.02256942
1810;2871;2844;0;2.02256942
1820;2871;2844;0;2.02256942
1830;2871;2844;0;2.02256942
1840;2871;2844;0;2.02256942
1850;2871;2844;0;2.02256942
1860;2871;2844;0;2.02256942
1870;2871;2843;0;2.02256942
1880;2871;2843;0;2.02256942
1890;2871;2843;0;2.02256942
1900;2871;2843;0;2.02256942
1910;2871;2843;0;2.02256942
1920;2871;2843;0;2.02256942
1930;2871;2843;0;2.02256942
1940;2871;2843;0;2.02256942
1950;2871;2843;0;2.02256942
1960;2871;2843;0;2.02256942
1970;2871;2843;0;2.02256942
1980;2871;2843;0;2.02256942
1990;2871;2843;0;2.02256942
2000;2871;2843;0;2.02256942
2010;2871;2843;0;2.02256942
2020;2871;2843;0;2.02256942
2030;2871;2843;0;2.02256942
2040;2871;2843;0;2.02256942
2050;2871;2843;0;2.02256942
