Name;YT Scope Project_2;
File;C:\Users\Serafin Kollegger\Desktop\PI_Stepresponse.csv;
Starttime of export;133626563118610000;Mittwoch, 12. Juni 2024;10:58:31.861
Endtime of export;133626566047010000;Mittwoch, 12. Juni 2024;11:03:24.701


Name;iTempSens1;iTempSens2
SampleTime[ms];10;10
SymbolBased;True;True
SymbolName;IFC_HW.iTempSens1;IFC_HW.iTempSens2
NetID;169.254.41.57.1.1;169.254.41.57.1.1
Port;851;851

0;2937;2896
10;2937;2896
20;2937;2896
30;2937;2896
40;2937;2896
50;2937;2896
60;2937;2896
70;2937;2896
80;2937;2896
90;2937;2896
100;2937;2896
110;2937;2896
120;2937;2896
130;2937;2896
140;2937;2896
150;2937;2896
160;2937;2896
170;2937;2896
180;2937;2896
190;2937;2896
200;2937;2896
210;2937;2896
220;2937;2896
230;2937;2896
240;2937;2896
250;2937;2896
260;2937;2896
270;2937;2896
280;2937;2896
290;2937;2896
300;2937;2896
310;2937;2896
320;2937;2896
330;2937;2896
340;2937;2896
350;2937;2896
360;2937;2896
370;2937;2896
380;2937;2896
390;2937;2896
400;2937;2896
410;2937;2896
420;2937;2896
430;2937;2896
440;2937;2896
450;2937;2896
460;2937;2896
470;2937;2896
480;2937;2896
490;2937;2896
500;2937;2896
510;2937;2896
520;2937;2896
530;2937;2896
540;2937;2896
550;2937;2896
560;2937;2896
570;2937;2896
580;2937;2896
590;2937;2896
600;2937;2896
610;2937;2896
620;2937;2896
630;2937;2896
640;2937;2896
650;2937;2896
660;2937;2896
670;2937;2896
680;2937;2896
690;2937;2896
700;2937;2896
710;2937;2896
720;2937;2896
730;2937;2896
740;2937;2896
750;2937;2896
760;2937;2896
770;2937;2896
780;2937;2896
790;2935;2896
800;2935;2896
810;2935;2896
820;2935;2896
830;2935;2896
840;2935;2896
850;2935;2896
860;2935;2896
870;2935;2896
880;2935;2896
890;2935;2896
900;2935;2896
910;2935;2894
920;2935;2894
930;2935;2894
940;2935;2894
950;2935;2894
960;2935;2894
970;2935;2894
980;2935;2894
990;2935;2894
1000;2935;2894
1010;2935;2894
1020;2935;2894
1030;2935;2894
1040;2935;2894
1050;2935;2894
1060;2935;2894
1070;2935;2894
1080;2935;2894
1090;2935;2894
1100;2935;2894
1110;2935;2894
1120;2935;2894
1130;2935;2894
1140;2935;2894
1150;2935;2894
1160;2935;2894
1170;2935;2894
1180;2935;2894
1190;2935;2894
1200;2935;2894
1210;2935;2894
1220;2935;2894
1230;2935;2894
1240;2935;2894
1250;2935;2894
1260;2935;2894
1270;2935;2894
1280;2935;2894
1290;2935;2894
1300;2935;2894
1310;2935;2894
1320;2935;2894
1330;2935;2894
1340;2935;2894
1350;2935;2894
1360;2935;2894
1370;2935;2894
1380;2935;2894
1390;2935;2894
1400;2935;2894
1410;2935;2894
1420;2935;2894
1430;2935;2894
1440;2935;2894
1450;2935;2894
1460;2935;2894
1470;2935;2894
1480;2935;2894
1490;2935;2894
1500;2935;2894
1510;2935;2894
1520;2935;2894
1530;2935;2894
1540;2935;2894
1550;2935;2894
1560;2935;2894
1570;2935;2894
1580;2935;2894
1590;2935;2894
1600;2935;2894
1610;2935;2894
1620;2935;2894
1630;2935;2894
1640;2935;2894
1650;2935;2894
1660;2935;2894
1670;2935;2894
1680;2935;2894
1690;2935;2894
1700;2935;2894
1710;2935;2894
1720;2935;2894
1730;2935;2894
1740;2935;2894
1750;2935;2894
1760;2935;2894
1770;2935;2894
1780;2935;2894
1790;2935;2894
1800;2935;2894
1810;2935;2894
1820;2935;2894
1830;2935;2894
1840;2935;2894
1850;2935;2894
1860;2935;2894
1870;2935;2894
1880;2935;2894
1890;2935;2894
1900;2935;2894
1910;2935;2894
1920;2935;2894
1930;2935;2894
1940;2935;2894
1950;2935;2894
1960;2935;2894
1970;2935;2894
1980;2935;2894
1990;2935;2894
2000;2935;2894
2010;2935;2894
2020;2935;2894
2030;2935;2894
2040;2935;2894
2050;2935;2894
2060;2935;2894
2070;2935;2894
2080;2935;2894
2090;2935;2894
2100;2935;2894
2110;2935;2894
2120;2935;2894
2130;2935;2894
2140;2935;2894
2150;2935;2894
2160;2935;2894
2170;2935;2894
2180;2935;2894
2190;2935;2894
2200;2935;2894
2210;2935;2894
2220;2935;2894
2230;2935;2894
2240;2935;2894
2250;2935;2894
2260;2935;2894
2270;2935;2894
2280;2935;2894
2290;2935;2894
2300;2935;2894
2310;2935;2894
2320;2935;2894
2330;2935;2894
2340;2935;2894
2350;2935;2894
2360;2935;2894
2370;2935;2894
2380;2935;2894
2390;2935;2894
2400;2935;2894
2410;2935;2894
2420;2935;2894
2430;2935;2894
2440;2935;2894
2450;2935;2894
2460;2935;2894
2470;2935;2894
2480;2935;2894
2490;2935;2894
2500;2935;2894
2510;2935;2894
2520;2935;2894
2530;2935;2894
2540;2935;2894
2550;2935;2894
2560;2935;2894
2570;2935;2894
2580;2935;2894
2590;2935;2894
2600;2935;2894
2610;2935;2894
2620;2935;2894
2630;2935;2894
2640;2935;2894
2650;2935;2894
2660;2935;2894
2670;2935;2894
2680;2935;2894
2690;2935;2894
2700;2935;2894
2710;2935;2894
2720;2935;2894
2730;2935;2894
2740;2935;2894
2750;2935;2894
2760;2933;2894
2770;2933;2894
2780;2933;2894
2790;2933;2894
2800;2933;2894
2810;2933;2894
2820;2933;2894
2830;2933;2894
2840;2933;2894
2850;2933;2894
2860;2933;2894
2870;2933;2894
2880;2933;2896
2890;2933;2896
2900;2933;2896
2910;2933;2896
2920;2933;2896
2930;2933;2896
2940;2933;2896
2950;2933;2896
2960;2933;2896
2970;2933;2896
2980;2933;2896
2990;2933;2896
3000;2933;2896
3010;2933;2896
3020;2933;2896
3030;2933;2896
3040;2933;2896
3050;2933;2896
3060;2933;2896
3070;2933;2896
3080;2933;2896
3090;2933;2896
3100;2933;2896
3110;2933;2896
3120;2933;2896
3130;2933;2896
3140;2933;2896
3150;2933;2896
3160;2933;2896
3170;2933;2896
3180;2933;2896
3190;2933;2896
3200;2933;2896
3210;2933;2896
3220;2933;2896
3230;2933;2896
3240;2933;2896
3250;2933;2896
3260;2933;2896
3270;2933;2896
3280;2933;2896
3290;2933;2896
3300;2933;2896
3310;2933;2896
3320;2933;2896
3330;2933;2896
3340;2933;2896
3350;2933;2896
3360;2933;2896
3370;2933;2896
3380;2933;2896
3390;2933;2896
3400;2933;2896
3410;2933;2896
3420;2933;2896
3430;2933;2896
3440;2933;2896
3450;2933;2896
3460;2933;2896
3470;2933;2896
3480;2933;2896
3490;2933;2896
3500;2933;2896
3510;2933;2896
3520;2933;2896
3530;2933;2896
3540;2933;2896
3550;2933;2896
3560;2933;2896
3570;2933;2896
3580;2933;2896
3590;2933;2896
3600;2933;2896
3610;2933;2896
3620;2933;2896
3630;2933;2896
3640;2933;2896
3650;2933;2896
3660;2933;2896
3670;2933;2896
3680;2933;2896
3690;2933;2896
3700;2933;2896
3710;2933;2896
3720;2933;2896
3730;2933;2896
3740;2929;2896
3750;2929;2896
3760;2929;2896
3770;2929;2896
3780;2929;2896
3790;2929;2896
3800;2929;2896
3810;2929;2896
3820;2929;2896
3830;2929;2896
3840;2929;2896
3850;2929;2896
3860;2929;2896
3870;2929;2892
3880;2929;2892
3890;2929;2892
3900;2929;2892
3910;2929;2892
3920;2929;2892
3930;2929;2892
3940;2929;2892
3950;2929;2892
3960;2929;2892
3970;2929;2892
3980;2929;2892
3990;2929;2892
4000;2929;2892
4010;2929;2892
4020;2929;2892
4030;2929;2892
4040;2929;2892
4050;2929;2892
4060;2929;2892
4070;2929;2892
4080;2929;2892
4090;2929;2892
4100;2929;2892
4110;2929;2892
4120;2929;2892
4130;2929;2892
4140;2929;2892
4150;2929;2892
4160;2929;2892
4170;2929;2892
4180;2929;2892
4190;2929;2892
4200;2929;2892
4210;2929;2892
4220;2929;2892
4230;2929;2892
4240;2929;2892
4250;2929;2892
4260;2929;2892
4270;2929;2892
4280;2929;2892
4290;2929;2892
4300;2929;2892
4310;2929;2892
4320;2929;2892
4330;2929;2892
4340;2929;2892
4350;2929;2892
4360;2929;2892
4370;2929;2892
4380;2929;2892
4390;2929;2892
4400;2929;2892
4410;2929;2892
4420;2929;2892
4430;2929;2892
4440;2929;2892
4450;2929;2892
4460;2929;2892
4470;2929;2892
4480;2929;2892
4490;2929;2892
4500;2929;2892
4510;2929;2892
4520;2929;2892
4530;2929;2892
4540;2929;2892
4550;2929;2892
4560;2929;2892
4570;2929;2892
4580;2929;2892
4590;2929;2892
4600;2929;2892
4610;2929;2892
4620;2929;2892
4630;2929;2892
4640;2929;2892
4650;2929;2892
4660;2929;2892
4670;2929;2892
4680;2929;2892
4690;2929;2892
4700;2929;2892
4710;2929;2892
4720;2929;2892
4730;2930;2892
4740;2930;2892
4750;2930;2892
4760;2930;2892
4770;2930;2892
4780;2930;2892
4790;2930;2892
4800;2930;2892
4810;2930;2892
4820;2930;2892
4830;2930;2892
4840;2930;2892
4850;2930;2894
4860;2930;2894
4870;2930;2894
4880;2930;2894
4890;2930;2894
4900;2930;2894
4910;2930;2894
4920;2930;2894
4930;2930;2894
4940;2930;2894
4950;2930;2894
4960;2930;2894
4970;2930;2894
4980;2930;2894
4990;2930;2894
5000;2930;2894
5010;2930;2894
5020;2930;2894
5030;2930;2894
5040;2930;2894
5050;2930;2894
5060;2930;2894
5070;2930;2894
5080;2930;2894
5090;2930;2894
5100;2930;2894
5110;2930;2894
5120;2930;2894
5130;2930;2894
5140;2930;2894
5150;2930;2894
5160;2930;2894
5170;2930;2894
5180;2930;2894
5190;2930;2894
5200;2930;2894
5210;2930;2894
5220;2930;2894
5230;2930;2894
5240;2930;2894
5250;2930;2894
5260;2930;2894
5270;2930;2894
5280;2930;2894
5290;2930;2894
5300;2930;2894
5310;2930;2894
5320;2930;2894
5330;2930;2894
5340;2930;2894
